,GrantId,PersonID,Role,YearofBirth,CountryofBirth,HomeLanguage,DeptNo,FacultyNo,WithPHD,NoofYearsinUniatTimeofGrant,NumberofSuccessfulGrant,NumberofUnsuccessfulGrant,A*,A,B,C
1,1.0,40572.0,CHIEF_INVESTIGATOR,1965.0,Asia Pacific,Other,3073.0,31.0,,Less than 0,0.0,0.0,4.0,2.0,0.0,0.0
2,2.0,9067.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2538.0,25.0,Yes ,more than 15,0.0,0.0,6.0,12.0,2.0,2.0
3,3.0,5967.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2923.0,25.0,Yes ,>5 to 10,0.0,0.0,0.0,3.0,5.0,2.0
4,3,27307.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2923.0,25.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,79652.0,CHIEF_INVESTIGATOR,1950.0,Asia Pacific,,2498.0,25.0,Yes ,more than 15,0.0,0.0,1.0,3.0,3.0,3.0
6,3,11667.0,DELEGATED_RESEARCHER,1950.0,Australia,,2548.0,25.0,,more than 15,0.0,0.0,6.0,14.0,12.0,2.0
7,4.0,78782.0,PRINCIPAL_SUPERVISOR,1955.0,Australia,,2678.0,25.0,Yes ,>5 to 10,0.0,0.0,0.0,3.0,13.0,3.0
8,4,55337.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2678.0,25.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
9,5.0,13042.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,,2153.0,19.0,Yes ,>5 to 10,0.0,0.0,3.0,0.0,1.0,0.0
10,6.0,301472.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2533.0,25.0,Yes ,>=0 to 5,2.0,0.0,7.0,27.0,27.0,6.0
11,7.0,74292.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3028.0,31.0,Yes ,>10 to 15,0.0,0.0,8.0,5.0,2.0,0.0
12,7,82602.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3028.0,31.0,Yes ,>10 to 15,0.0,1.0,0.0,0.0,0.0,0.0
13,7,79742.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,,3028.0,31.0,,Less than 0,0.0,0.0,0.0,7.0,12.0,4.0
14,8.0,1642.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2563.0,25.0,,,0.0,3.0,0.0,0.0,0.0,0.0
15,8,70212.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2563.0,25.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
16,9.0,1012.0,CHIEF_INVESTIGATOR,1945.0,Australia,English,3123.0,31.0,Yes ,>5 to 10,0.0,0.0,8.0,1.0,11.0,0.0
17,9,80197.0,CHIEF_INVESTIGATOR,1950.0,Australia,English,3123.0,31.0,Yes ,>5 to 10,2.0,1.0,0.0,0.0,0.0,0.0
18,10.0,89462.0,CHIEF_INVESTIGATOR,1930.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0
19,11.0,67272.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3098.0,31.0,Yes ,>=0 to 5,0.0,0.0,2.0,4.0,0.0,0.0
20,11,80037.0,CHIEF_INVESTIGATOR,1950.0,Australia,,3098.0,31.0,Yes ,more than 15,1.0,0.0,0.0,0.0,0.0,0.0
21,12.0,1797.0,CHIEF_INVESTIGATOR,1960.0,North America,,2678.0,25.0,Yes ,>5 to 10,2.0,7.0,0.0,8.0,4.0,0.0
22,13.0,73882.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,2713.0,25.0,,Less than 0,1.0,1.0,4.0,3.0,2.0,1.0
23,14.0,38457.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2153.0,19.0,,Less than 0,0.0,0.0,3.0,4.0,2.0,0.0
24,14,132247.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1998.0,19.0,,Less than 0,0.0,1.0,0.0,0.0,0.0,0.0
25,15.0,9067.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2538.0,25.0,Yes ,more than 15,3.0,3.0,6.0,12.0,2.0,2.0
26,15,8067.0,CHIEF_INVESTIGATOR,1960.0,Western Europe,Other,1998.0,19.0,Yes ,>5 to 10,0.0,2.0,0.0,0.0,0.0,0.0
27,15,80137.0,DELEGATED_RESEARCHER,1950.0,Australia,,2163.0,19.0,Yes ,more than 15,0.0,0.0,1.0,5.0,1.0,0.0
28,16.0,69482.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2883.0,25.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,2.0,2.0
29,17.0,1797.0,CHIEF_INVESTIGATOR,1960.0,North America,,2678.0,25.0,Yes ,>5 to 10,2.0,7.0,0.0,8.0,4.0,0.0
30,18.0,26882.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,1.0,0.0,0.0,2.0,1.0,2.0
31,19.0,69517.0,PRINCIPAL_SUPERVISOR,1950.0,Australia,English,1258.0,34.0,Yes ,more than 15,0.0,0.0,6.0,4.0,6.0,32.0
32,19,66672.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1258.0,34.0,Yes ,>10 to 15,2.0,0.0,0.0,0.0,0.0,0.0
33,20.0,592577.0,CHIEF_INVESTIGATOR,1975.0,,,2558.0,25.0,,,0.0,1.0,0.0,0.0,0.0,0.0
34,21.0,15282.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2713.0,25.0,Yes ,>5 to 10,1.0,1.0,1.0,1.0,2.0,0.0
35,22.0,25947.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1038.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0
36,23.0,9067.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2538.0,25.0,Yes ,more than 15,3.0,3.0,6.0,12.0,2.0,2.0
37,23,65807.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2768.0,25.0,,more than 15,0.0,0.0,0.0,0.0,0.0,0.0
38,24.0,4902.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2053.0,19.0,Yes ,>5 to 10,1.0,0.0,1.0,3.0,4.0,1.0
39,24,127447.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2053.0,19.0,Yes ,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
40,25.0,78947.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2553.0,25.0,,Less than 0,1.0,1.0,0.0,3.0,3.0,1.0
41,25,82567.0,DELEGATED_RESEARCHER,1955.0,Australia,English,2678.0,25.0,Yes ,more than 15,0.0,0.0,0.0,0.0,0.0,0.0
